Filename,Siglevel,Langousis_Min1,Langousis_Min2,Langousis_Min3,Langousis_Time,Studentized_Residuals,Studentized_Residuals_Time,Anderson_Darling,Anderson_Darling_Time,CVM,CVM_Time
USC00352406_precipitation.csv,0.05,24.0914067742602,28.0431840535297,33.9406938325275,0.0864813,22.6,0.1121167,26.4,0.6918156,26.2,0.6657648
USC00352440_precipitation.csv,0.01,1.56050934492584,7.24094299368908,8.51708173733188,0.0231285,7.4,0.4425982,9.9,0.2347374,9.9,0.2344576
USC00352440_precipitation.csv,0.05,1.56050934492584,7.24094299368908,8.51708173733188,0.0343237,7.4,0.4253645,14.2,0.3156122,9.9,0.2352726
USC00352693_precipitation.csv,0.01,12.4623908696731,19.563699268368,23.1763040146881,0.0505601,9.9,0.1515117,24.4,0.6573323,24.4,0.6517236
USC00352693_precipitation.csv,0.05,12.4623908696731,19.563699268368,23.1763040146881,0.0528877,9.9,0.1505774,31.8,0.8052836,31.5,0.7947727
USC00352997_precipitation.csv,0.01,0.499274032178583,12.1704515442774,16.982825576977,0.0544858,0.3,0.0008922,23.6,0.6980738,23.1,0.7324959
USC00352997_precipitation.csv,0.05,0.499274032178583,12.1704515442774,16.982825576977,0.0588047,12.4,0.1885838,26.9,0.8127969,23.6,0.7283209
USC00353445_precipitation.csv,0.01,3.80278246983975,14.505384962382,20.8460579878547,0.0454684,25.4,0.6910585,26.7,0.6810893,26.2,0.6086865
USC00353445_precipitation.csv,0.05,3.80278246983975,14.505384962382,20.8460579878547,0.059104,25.4,0.6966746,29.2,0.681576,29.2,0.682033
USC00353770_precipitation.csv,0.01,19.8002440229072,23.9432805228219,28.5820844984041,0.0744883,17.5,0.1325691,33.3,0.9830093,33.3,0.9747004
USC00353770_precipitation.csv,0.05,19.8002440229072,23.9432805228219,28.5820844984041,0.068061,72.1,1.2164977,36.6,1.0450285,36.3,1.0384866
USC00353827_precipitation.csv,0.01,11.3534604092962,22.3353559238787,25.6101601426483,0.0257303,0.3,0.0005283,9.4,0.257159,9.4,0.2438883
