Filename, Percentage Available, Total Days, Available Rows
ASN00010648_precipitation.csv, 88.37, 42034, 37147
ASN00010654_precipitation.csv, 40.30, 100017, 40310
ASN00010655_precipitation.csv, 37.82, 100045, 37834
ASN00010658_precipitation.csv, 92.00, 42003, 38642
ASN00010665_precipitation.csv, 37.93, 100017, 37933
ASN00010668_precipitation.csv, 94.11, 41146, 38721
ASN00010670_precipitation.csv, 88.34, 41853, 36973
ASN00010671_precipitation.csv, 31.90, 100017, 31909
ASN00010692_precipitation.csv, 24.69, 100017, 24691
ASN00010699_precipitation.csv, 24.46, 100017, 24468
ASN00010702_precipitation.csv, 22.88, 100017, 22879
ASN00010704_precipitation.csv, 23.27, 100017, 23269
ASN00010705_precipitation.csv, 27.02, 100017, 27025
ASN00010715_precipitation.csv, 6.50, 100016, 6506
ASN00010725_precipitation.csv, 60.24, 43434, 26165
ASN00010729_precipitation.csv, 23.10, 100013, 23108
ASN00010779_precipitation.csv, 60.52, 42703, 25843
ASN00010792_precipitation.csv, 22.11, 100017, 22109
ASN00010793_precipitation.csv, 20.97, 100017, 20971
ASN00010799_precipitation.csv, 7.74, 100017, 7739
ASN00010803_precipitation.csv, 17.03, 100017, 17028
ASN00010811_precipitation.csv, 20.30, 100017, 20306
ASN00010823_precipitation.csv, 17.87, 100017, 17874
ASN00010831_precipitation.csv, 7.30, 100017, 7301
ASN00010866_precipitation.csv, 24.84, 100017, 24843
ASN00010872_precipitation.csv, 20.13, 100017, 20137
ASN00010876_precipitation.csv, 17.38, 100017, 17384
ASN00010878_precipitation.csv, 21.03, 100017, 21036
ASN00010888_precipitation.csv, 14.40, 100044, 14406
ASN00010889_precipitation.csv, 15.15, 100016, 15156
ASN00010893_precipitation.csv, 30.91, 100017, 30920
ASN00010895_precipitation.csv, 20.05, 100017, 20058
ASN00010897_precipitation.csv, 14.06, 100017, 14067
ASN00010904_precipitation.csv, 22.78, 100017, 22782
ASN00010905_precipitation.csv, 10.46, 100017, 10463
ASN00010908_precipitation.csv, 8.46, 100017, 8466
ASN00010911_precipitation.csv, 9.63, 100017, 9635
ASN00010912_precipitation.csv, 7.26, 100017, 7262
ASN00010916_precipitation.csv, 9.04, 100017, 9043
ASN00010917_precipitation.csv, 9.29, 100307, 9316
ASN00011003_precipitation.csv, 40.09, 100304, 40212
ASN00011008_precipitation.csv, 37.84, 100017, 37848
ASN00011017_precipitation.csv, 72.26, 47880, 34596
ASN00011019_precipitation.csv, 26.75, 100017, 26756
