Iteration,Run,CDF_Threshold,k,sigma,Rounding,Real_Threshold,SigLevel,Studentized_Residuals,SR_Time,Langousis_Min1,Langousis_Min2,Langousis_Min3,Langousis_Time,Anderson_Darling,AD_Time,Cramer_Von_Mises,CVM_Time
128,2,0.99,-0.15,2,1,2.32634787404084,0.05,4,0.4407261,0.79294341131955,2.58885391197298,3.84952353369345,0.0085004,6.5,0.3707339,6.5,0.371765
129,2,0.99,-0.15,2,2,2.32634787404084,0.01,2.37,0.2544538,0.930935250420083,2.67275796720846,3.87815221211168,0.0971933,2,1.6180765,2,1.6073863
130,2,0.99,-0.15,2,2,2.32634787404084,0.05,2.37,0.2399371,0.930935250420083,2.67275796720846,3.87815221211168,0.0955463,6.45,2.244355,6.45,2.231023
131,2,0.99,-0.15,2,3,2.32634787404084,0.01,2.366,2.3505944,1.07729408226074,2.70186023807089,3.84993085547377,21.8435532,2.002,15.0979347,2.002,15.5086812
132,2,0.99,-0.15,2,3,2.32634787404084,0.05,2.366,2.3564499,1.07729408226074,2.70186023807089,3.84993085547377,21.8321482,6.451,16.5950572,6.451,16.7390588
133,3,0.99,-0.15,2,1,2.32634787404084,0.01,2.3,0.3352919,0.877216867200294,2.47127999667579,3.0630701129919,0.0081174,2,0.1757294,2,0.1708219
134,3,0.99,-0.15,2,1,2.32634787404084,0.05,2.3,0.2872391,0.877216867200294,2.47127999667579,3.0630701129919,0.0082605,2.1,0.1698442,2.1,0.1673234
135,3,0.99,-0.15,2,2,2.32634787404084,0.01,2.32,0.3472728,1.01168509186523,2.40136021690042,3.06354754021691,0.0995394,1.63,1.3905363,1.63,1.3887176
136,3,0.99,-0.15,2,2,2.32634787404084,0.05,2.32,0.3491314,1.01168509186523,2.40136021690042,3.06354754021691,0.0987419,2.01,1.6230231,2.01,1.6152176
137,3,0.99,-0.15,2,3,2.32634787404084,0.01,2.325,2.4213498,1.15941087642787,2.38423843203607,3.06908734341194,22.1866762,1.625,13.8606278,1.545,13.1169809
138,3,0.99,-0.15,2,3,2.32634787404084,0.05,2.325,2.5433449,1.15941087642787,2.38423843203607,3.06908734341194,22.3318895,2.012,15.0058384,2.012,15.2884538
139,4,0.99,-0.15,2,1,2.32634787404084,0.01,2.3,0.2744543,0.941958212920428,2.47582941456656,3.90277151891088,0.0080078,1.7,0.1481777,1.7,0.1515131
140,4,0.99,-0.15,2,1,2.32634787404084,0.05,2.3,0.2639326,0.941958212920428,2.47582941456656,3.90277151891088,0.0079958,1.8,0.1542651,1.7,0.1488175
141,4,0.99,-0.15,2,2,2.32634787404084,0.01,2.32,0.3452539,1.04958982445728,2.39467071225267,4.0130815677554,0.099229,1.72,1.4549785,1.72,1.4356034
142,4,0.99,-0.15,2,2,2.32634787404084,0.05,2.32,0.3579146,1.04958982445728,2.39467071225267,4.0130815677554,0.0955926,1.72,1.4345565,1.72,1.4333806
143,4,0.99,-0.15,2,3,2.32634787404084,0.01,2.326,2.3369522,1.22774571538059,2.38252487557897,4.03558499795381,23.2245792,1.716,13.8919895,1.706,14.067458
144,4,0.99,-0.15,2,3,2.32634787404084,0.05,2.326,2.3945957,1.22774571538059,2.38252487557897,4.03558499795381,23.291827,1.722,13.8770876,1.722,13.8340728
145,5,0.99,-0.15,2,1,2.32634787404084,0.01,2.3,0.4244347,1.07965882485419,3.28992220846378,4.08399389438639,0.0081332,1.5,0.1448288,1.5,0.1417275
146,5,0.99,-0.15,2,1,2.32634787404084,0.05,2.3,0.4068455,1.07965882485419,3.28992220846378,4.08399389438639,0.0082527,1.6,0.1451439,1.6,0.142893
147,5,0.99,-0.15,2,2,2.32634787404084,0.01,2.31,0.3499992,1.18282666089658,2.41358180029208,3.38321206082012,0.0875621,1.35,1.2374787,1.35,1.2324978
148,5,0.99,-0.15,2,2,2.32634787404084,0.05,2.31,0.3474469,1.18282666089658,2.41358180029208,3.38321206082012,0.0870263,1.48,1.3256607,1.48,1.3217773
149,5,0.99,-0.15,2,3,2.32634787404084,0.01,2.319,2.414519,1.3093950365842,2.38528927430711,3.42153437038966,21.7752259,1.353,12.3308078,1.353,12.1998947
150,5,0.99,-0.15,2,3,2.32634787404084,0.05,2.319,2.3070787,1.3093950365842,2.38528927430711,3.42153437038966,21.6064247,1.482,13.0457611,1.364,12.6760325
151,6,0.99,-0.15,2,1,2.32634787404084,0.01,2.3,0.2490845,0.87466103327507,2.49025015191039,5.02770294680276,0.0081231,1.5,0.1386497,1.5,0.1366658
152,6,0.99,-0.15,2,1,2.32634787404084,0.05,2.3,0.2448933,0.87466103327507,2.49025015191039,5.02770294680276,0.0078672,1.5,0.1368971,1.5,0.1387242
153,6,0.99,-0.15,2,2,2.32634787404084,0.01,2.32,0.3545543,1.05290834083197,2.42926848028002,3.57597301470032,0.0966922,1.48,1.3281461,1.44,1.2917215
154,6,0.99,-0.15,2,2,2.32634787404084,0.05,2.32,0.357072,1.05290834083197,2.42926848028002,3.57597301470032,0.0920067,1.52,1.3458371,1.48,1.3060586
155,6,0.99,-0.15,2,3,2.32634787404084,0.01,2.325,2.277988,1.20817878609905,2.41032276972637,3.51917398431273,21.993675,1.475,13.0563852,1.442,12.9494793
156,6,0.99,-0.15,2,3,2.32634787404084,0.05,2.325,2.3374016,1.20817878609905,2.41032276972637,3.51917398431273,21.9385087,1.492,12.9188653,1.475,13.0868497
